Export for AI1330_M03_BLC8G20LS_400AV_D132728_Peak_S4_30V_Idq1p8_pulsed_P42_All.spl_1.840GHz.tdp  
PoutW_comprcon 	 PAE_comprcon 
1.838310e+002 	 5.494695e+001
2.022406e+002 	 5.602358e+001
2.022406e+002 	 5.602358e+001
2.195213e+002 	 5.689826e+001
2.211035e+002 	 5.730876e+001
2.374520e+002 	 5.781327e+001
2.374520e+002 	 5.781327e+001
2.524713e+002 	 5.801642e+001
2.545694e+002 	 5.809012e+001
2.694243e+002 	 5.818392e+001
2.694243e+002 	 5.818392e+001
2.836405e+002 	 5.810593e+001
2.836405e+002 	 5.810593e+001
2.980654e+002 	 5.772456e+001
2.980654e+002 	 5.772456e+001
3.091096e+002 	 5.722161e+001
3.091096e+002 	 5.722161e+001
3.176824e+002 	 5.641948e+001
3.195583e+002 	 5.621965e+001
3.257258e+002 	 5.512442e+001
3.257258e+002 	 5.512442e+001
3.284789e+002 	 5.377231e+001
3.307983e+002 	 5.360774e+001
3.308470e+002 	 5.207956e+001
3.308470e+002 	 5.207956e+001
3.267098e+002 	 5.014853e+001
3.267098e+002 	 5.014853e+001
3.178323e+002 	 4.744876e+001
3.178323e+002 	 4.744876e+001
3.072946e+002 	 4.515418e+001
3.072946e+002 	 4.515418e+001
2.934095e+002 	 4.214451e+001
2.934095e+002 	 4.214451e+001
2.793461e+002 	 3.972746e+001
2.793461e+002 	 3.972746e+001
2.662544e+002 	 3.749531e+001
2.606368e+002 	 3.657762e+001
2.475300e+002 	 3.451572e+001
2.475300e+002 	 3.451572e+001



9.585639e+001 	 2.360255e+001
1.090449e+002 	 2.785625e+001
1.208604e+002 	 3.189079e+001
1.316464e+002 	 3.572286e+001
1.418409e+002 	 3.931273e+001
1.512906e+002 	 4.266108e+001
1.598561e+002 	 4.588121e+001
1.676260e+002 	 4.898269e+001
1.743157e+002 	 5.151961e+001
1.795265e+002 	 5.332171e+001
1.832794e+002 	 5.459330e+001
1.854012e+002 	 5.539808e+001
1.854007e+002 	 5.565344e+001
1.845309e+002 	 5.544311e+001
1.838310e+002 	 5.494695e+001
1.827339e+002 	 5.412113e+001
1.809890e+002 	 5.289561e+001
1.786224e+002 	 5.121998e+001
1.756973e+002 	 4.923197e+001
1.721749e+002 	 4.698329e+001
1.163963e+002 	 2.606583e+001
1.298111e+002 	 3.015857e+001
1.417885e+002 	 3.401169e+001
1.525574e+002 	 3.764661e+001
1.626875e+002 	 4.102082e+001
1.719374e+002 	 4.411602e+001
1.801219e+002 	 4.701532e+001
1.874349e+002 	 4.986641e+001
1.938418e+002 	 5.237207e+001
1.987485e+002 	 5.415830e+001
2.021329e+002 	 5.539427e+001
2.040358e+002 	 5.619670e+001
2.042326e+002 	 5.657057e+001
2.033401e+002 	 5.648322e+001
2.022406e+002 	 5.602358e+001
2.007006e+002 	 5.522263e+001
1.985388e+002 	 5.407056e+001
1.957558e+002 	 5.254122e+001
1.923931e+002 	 5.067711e+001
1.884350e+002 	 4.851558e+001
1.358704e+002 	 2.834446e+001
1.494776e+002 	 3.228611e+001
1.617659e+002 	 3.596438e+001
1.727251e+002 	 3.940166e+001
1.827719e+002 	 4.260226e+001
1.918271e+002 	 4.552926e+001
1.997161e+002 	 4.820286e+001
2.064659e+002 	 5.072349e+001
